day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
14,14,42,58.500,59,2.73,2.32,1.90,2.53,072,5425
15,13,39,30.980,51,3.43,2.85,2.17,2.52,075,5875
19,17,31,11.982,51,3.39,2.77,2.08,1.50,076,6220

