day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,17,50,25.843,21,6.08,6.24,6.14,2.60,074,5624
08,17,51,23.906,24,-6.44,-6.55,-6.48,2.86,068,5172
08,17,53,16.643,18,6.97,7.51,7.83,3.73,074,4686
08,17,53,19.641,20,-6.15,-7.28,-7.86,3.50,066,4300
08,17,58,47.114,29,-1.16,-1.50,-1.78,5.16,083,4176
08,17,58,48.443,37,-1.06,-1.19,-1.36,3.97,099,7418
08,17,58,57.844,9,5.22,2.72,0.11,6.57,099,6601
08,17,59,00.812,32,-0.86,-1.30,-1.68,1.01,099,7891
08,18,01,23.112,22,-6.58,-6.89,-6.90,2.77,067,4671
08,18,02,00.578,37,2.39,2.37,2.35,1.80,099,3713
08,18,02,03.762,8,2.44,1.38,0.84,1.84,088,2753
08,18,02,04.509,16,5.55,4.94,4.08,3.99,080,6045
08,18,02,14.643,32,-1.14,-1.27,-1.31,1.16,083,2656
08,18,02,15.311,17,-1.02,-1.35,-1.44,1.16,091,3042
08,18,02,15.879,41,-1.74,-2.09,-2.31,1.39,099,3741
08,18,03,57.443,26,-5.12,-5.71,-5.86,2.76,067,4260
08,18,04,05.651,23,-6.39,-6.98,-7.08,2.64,067,5187
08,18,04,31.244,28,4.44,4.90,5.08,1.98,073,4343
08,18,04,55.847,21,-6.82,-7.17,-7.47,4.87,068,4532
08,18,05,42.247,21,-7.12,-6.95,-6.69,3.28,068,4385
08,18,07,11.113,27,-5.23,-5.06,-4.75,2.48,067,3529
08,18,07,50.178,21,-7.45,-7.39,-7.24,3.40,068,4950
08,18,08,25.849,20,-6.80,-7.85,-8.26,3.01,070,5497
08,18,08,57.583,22,-6.82,-7.06,-6.96,3.01,068,4895
08,18,09,13.114,19,7.00,8.22,8.97,1.95,076,5950
08,18,09,36.377,22,5.67,6.76,7.34,2.13,076,6673
08,18,10,47.248,20,5.97,7.67,8.55,3.20,073,5905
08,18,12,37.049,33,-4.70,-4.28,-3.70,2.18,068,3699
08,18,13,55.133,22,6.21,7.12,7.43,2.19,073,6166
08,18,14,52.456,18,-8.14,-7.72,-7.06,3.19,068,3546
08,18,15,56.783,20,6.03,7.84,8.77,3.13,073,5588
08,18,21,15.649,23,-1.25,-1.31,-1.39,1.00,075,1781
08,18,21,17.450,8,-2.81,-1.19,-0.38,1.99,072,1663
08,18,21,18.034,8,-2.06,-1.19,-0.75,1.58,072,1661
08,18,21,18.554,9,-2.22,-1.48,-0.33,1.36,072,1537
08,18,21,19.154,11,-1.45,-1.13,-0.87,1.26,070,1430
08,18,21,35.919,12,1.56,1.50,1.19,1.53,071,1341
08,18,21,36.453,8,2.06,1.31,0.94,1.67,071,1570
08,18,21,37.319,10,2.30,1.16,0.30,1.56,072,1586
08,18,21,38.520,9,2.33,1.28,0.11,1.58,074,1737
08,18,21,39.146,16,0.90,1.39,1.78,1.49,073,1706
08,18,23,05.652,18,7.03,7.42,7.42,3.04,073,4699
08,18,24,08.393,25,-6.58,-6.38,-5.67,4.92,069,5469
08,18,24,10.119,16,7.39,7.27,6.84,2.08,077,5769
08,18,27,14.521,20,-6.17,-7.40,-7.89,3.51,070,4985
08,18,27,58.853,29,-5.16,-5.42,-5.28,2.93,068,5173
08,18,29,03.055,21,6.12,6.49,6.61,3.04,072,5068
08,18,31,05.389,19,-6.26,-7.22,-7.81,3.54,068,4359
08,18,31,42.457,23,-6.09,-6.65,-6.66,3.45,069,5140
08,18,32,02.854,18,7.58,7.89,7.89,2.33,073,5641
08,18,33,03.256,27,5.04,5.19,5.19,2.34,072,7900
08,18,35,18.587,21,6.96,7.39,7.49,3.25,072,5906
08,18,35,26.523,23,-5.16,-6.68,-7.42,3.18,069,5893
08,18,37,12.260,29,-5.37,-5.71,-5.53,2.21,067,6443
