day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
17,12,13,45.571,21,6.29,6.54,6.67,6.11,074,5186
17,12,14,38.441,25,-5.68,-5.81,-5.64,3.61,069,4580
17,12,16,00.770,27,-5.62,-5.47,-5.19,3.40,069,4228
17,12,17,58.707,20,6.12,7.35,7.74,4.48,075,5707
17,12,18,00.515,23,-6.20,-6.85,-7.00,2.71,069,4631
17,12,18,49.438,29,4.31,5.01,5.39,2.30,075,8478
17,12,18,52.445,26,4.47,5.72,6.44,3.16,072,4653
17,12,21,03.516,20,5.50,6.55,6.89,3.50,075,6171
17,12,21,11.446,28,-5.77,-5.61,-5.11,3.16,069,5228
17,12,21,14.839,27,-5.96,-5.58,-4.96,2.98,068,4352
17,12,23,15.782,25,-6.15,-6.39,-6.27,3.43,069,4974
17,12,26,13.318,29,-5.07,-5.34,-5.22,2.91,067,4593
17,12,27,24.169,25,-5.49,-5.74,-5.74,3.18,069,3822
17,12,27,53.571,22,-6.78,-6.93,-7.06,3.11,069,3737
17,12,29,58.711,19,6.08,7.36,8.21,3.31,074,5245
17,12,30,08.043,16,6.79,8.17,9.04,4.06,074,4640
17,12,30,59.776,22,-6.74,-6.99,-6.97,3.80,071,4363
17,12,32,41.314,20,5.45,7.19,8.22,3.01,074,4638
17,12,34,02.376,26,-5.37,-5.78,-5.78,2.55,069,4402
17,12,34,12.243,24,-6.80,-6.62,-6.23,3.53,070,4905
17,12,34,43.710,21,-7.59,-7.40,-7.06,3.77,070,4777
17,12,34,57.920,13,7.90,9.62,10.47,5.29,080,4431
17,12,37,57.514,22,5.28,5.90,6.19,5.87,073,4472
17,12,38,46.914,22,5.42,6.71,7.43,2.47,073,5654
17,12,39,42.980,23,-5.96,-6.53,-6.59,3.87,069,4835
17,12,40,20.113,22,5.20,5.59,5.62,3.22,073,4799
17,12,44,50.776,23,4.71,6.12,6.89,3.30,073,5092
17,12,44,55.177,23,4.58,6.29,7.25,3.26,073,4851
17,12,45,50.843,22,5.63,6.98,7.80,5.63,072,4946
17,12,46,54.121,14,1.39,1.29,1.20,0.95,062,1352
17,12,46,57.576,14,0.64,1.14,1.46,0.66,064,1511
17,12,50,00.778,26,-5.58,-6.01,-5.97,3.25,071,4913
17,12,50,48.249,24,5.69,6.00,6.02,1.95,073,6342
17,12,54,47.913,20,5.73,7.69,8.84,3.69,074,6151
17,12,54,59.180,23,5.61,6.63,7.01,3.71,073,7098
17,12,55,23.925,21,6.33,7.21,7.84,3.18,072,5751
17,12,55,29.722,10,1.50,1.16,0.70,2.05,085,1965
17,12,55,30.447,11,2.09,1.45,0.87,1.72,082,1913
17,12,55,31.115,10,2.10,1.16,0.40,1.75,077,1722
17,12,55,31.719,8,1.69,1.38,1.22,1.46,075,1550
17,12,56,02.577,21,6.47,6.82,6.96,3.02,072,5360
17,12,56,25.256,24,5.23,5.99,6.45,3.32,073,5136
17,12,56,37.446,21,6.35,6.87,7.20,3.57,074,5206
17,12,56,41.579,21,5.78,6.53,7.10,3.21,074,5388
17,12,57,43.246,21,6.35,7.16,7.73,3.11,075,5743
17,12,59,52.118,18,6.81,7.74,8.78,4.13,073,4907
17,13,02,21.581,15,6.80,7.62,8.40,4.73,074,4504
17,13,02,50.249,24,-6.03,-5.99,-5.73,2.57,071,4129
17,13,02,57.249,24,-6.80,-6.42,-5.81,3.02,071,4564
17,13,04,14.116,20,1.20,1.19,1.22,1.21,070,1594
17,13,04,15.981,25,1.51,1.42,1.36,1.22,074,1971
17,13,04,17.032,17,0.81,1.27,1.52,1.01,074,1869
17,13,04,26.453,79,-1.43,-1.74,-2.01,1.50,098,3329
17,13,04,51.118,15,6.32,7.09,7.84,3.09,074,4563
17,13,05,13.448,25,-5.99,-6.07,-5.85,2.66,070,4698
17,13,06,34.585,20,-6.10,-6.61,-6.91,5.27,073,4447
17,13,07,22.986,12,5.81,3.67,1.44,4.30,074,5037
17,13,07,23.383,16,4.73,5.06,5.49,2.60,077,5779
17,13,11,33.252,19,6.11,7.00,7.70,5.41,084,5219
17,13,11,52.183,17,5.47,7.73,9.04,5.00,078,5155
